state,population_over_25,college,male_25+,male,female_25+,female,above_50000,below_50000,poverty,health_insurance
AL,4849377,20.4,2347098,48.4,2502279,51.6,21.5,78.5,19.3,12.1
AK,736732,24.1,385311,52.3,351421,47.7,48.5,51.5,11.2,17.2
AZ,6731484,23.9,3345548,49.7,3385936,50.3,30.4,69.6,18.2,13.6
AR,2966369,18.2,1456487,49.1,1509882,50.9,19.9,80.1,18.9,11.8
CA,38802500,27.3,19246040,49.6,19556460,50.4,42.8,57.2,16.4,12.4
CO,5355866,33.4,2694001,50.3,2661865,49.7,38.8,61.2,12,10.3
CT,3596677,32.9,1755178,48.8,1841499,51.2,39.9,60.1,10.8,6.9
DE,935614,26.1,453773,48.5,481841,51.5,36.1,63.9,12.5,7.8
DC,658893,49.1,312315,47.4,346578,52.6,56.5,43.5,17.7,5.3
FL,19893297,24.1,9727822,48.9,10165475,51.1,29,71,16.5,16.6
GA,10097343,24.7,4917406,48.7,5179937,51.3,30.3,69.7,18.3,15.8
HI,1419561,27.3,716878,50.5,702683,49.5,43,57,11.4,5.3
ID,1634464,22.4,817232,50,817232,50,23.1,76.9,14.8,13.6
IL,12880580,28.4,6324365,49.1,6556215,50.9,35.3,64.7,14.4,9.7
IN,6596855,20.8,3245653,49.2,3351202,50.8,24.7,75.3,15.2,11.9
IA,3107126,23.4,1544242,49.7,1562884,50.3,27.6,72.4,12.2,6.2
KS,2904021,27,1446202,49.8,1457819,50.2,27.1,72.9,13.6,10.2
KY,4413457,19.3,2175834,49.3,2237623,50.7,21.5,78.5,19.1,8.5
LA,4649676,19.8,2273692,48.9,2375984,51.1,24.2,75.8,19.8,14.8
ME,1330089,25.6,647753,48.7,682336,51.3,27.1,72.9,14.1,10.1
MD,5976407,33.3,2898557,48.5,3077850,51.5,47.3,52.7,10.1,7.9
MA,6745408,35.5,3271523,48.5,3473885,51.5,42.6,57.4,11.6,3.3
MI,9909877,23.4,4865750,49.1,5044127,50.9,27,73,16.2,8.5
MN,5457173,29.6,2712215,49.7,2744958,50.3,35,65,11.5,5.9
MS,2994079,18.1,1458116,48.7,1535963,51.3,18.3,81.7,21.5,14.5
MO,6063589,23.8,2971159,49,3092430,51,24.9,75.1,15.5,11.7
MT,1023579,26.2,513837,50.2,509742,49.8,25,75,15.4,14.2
NE,1881503,25.8,936988,49.8,944515,50.2,27.9,72.1,12.4,9.7
NV,2839099,19.9,1428067,50.3,1411032,49.7,33.3,66.7,15.2,15.2
NH,1326813,31,655446,49.4,671367,50.6,38.2,61.8,9.2,9.2
NJ,8938175,32.5,4361829,48.8,4576346,51.2,42.3,57.7,11.1,10.9
NM,2085572,22.8,1032358,49.5,1053214,50.5,26,74,21.3,14.5
NY,19746227,30.4,9576920,48.5,10169307,51.5,39.5,60.5,15.9,8.7
NC,9943964,24.3,4842710,48.7,5101254,51.3,26,74,17.2,13.1
ND,739482,25,376396,50.9,363086,49.1,32.2,67.8,11.5,7.9
OH,11594163,22.8,5681140,49,5913023,51,26.3,73.7,15.8,8.4
OK,3878051,21,1919635,49.5,1958416,50.5,25.2,74.8,16.6,15.4
OR,3970239,26.8,1965268,49.5,2004971,50.5,30.8,69.2,16.6,9.7
PA,12787209,25.1,6252945,48.9,6534264,51.1,29.6,70.4,13.6,8.5
RI,1055173,27.9,511759,48.5,543414,51.5,33.3,66.7,14.3,7.4
SC,4832482,22.5,2353419,48.7,2479063,51.3,24.1,75.9,18,13.6
SD,853175,23.8,427441,50.1,425734,49.9,25.1,74.9,14.2,9.8
TN,6549352,21.5,3189534,48.7,3359818,51.3,23.5,76.5,18.3,12
TX,26956958,23.5,13397608,49.7,13559350,50.3,33.8,66.2,17.2,19.1
UT,2942902,25.8,1480280,50.3,1462622,49.7,33,67,11.7,12.5
VT,626562,31.5,308269,49.2,318293,50.8,31.8,68.2,12.2,5
VA,8326289,31.7,4096534,49.2,4229755,50.8,41.2,58.8,11.8,10.9
WA,7061530,28.7,3530765,50,3530765,50,38.7,61.3,13.2,9.2
WV,1850326,16.6,914061,49.4,936265,50.6,19.6,80.4,18.3,8.6
WI,5757564,24.3,2855752,49.6,2901812,50.4,28.2,71.8,13.2,7.3
WY,584153,22.8,297334,50.9,286819,49.1,31.6,68.4,11.2,12
